Local time,Open,High,Low,Close,Volume
14.02.2004 06:00:00.000 GMT+0800,105.409,105.409,105.409,105.409,0
15.02.2004 06:00:00.000 GMT+0800,105.409,105.409,105.409,105.409,0
16.02.2004 06:00:00.000 GMT+0800,105.439,105.538,105.330,105.442,608856.1954000001
17.02.2004 06:00:00.000 GMT+0800,105.461,105.960,105.401,105.622,617393.9989999998
18.02.2004 06:00:00.000 GMT+0800,105.637,107.098,105.482,106.705,626126.9034000002
19.02.2004 06:00:00.000 GMT+0800,106.718,107.404,106.270,107.000,624579.2032
20.02.2004 06:00:00.000 GMT+0800,107.000,109.320,106.833,108.996,630671.7111
21.02.2004 06:00:00.000 GMT+0800,108.996,108.996,108.996,108.996,0
22.02.2004 06:00:00.000 GMT+0800,108.996,108.996,108.996,108.996,0
23.02.2004 06:00:00.000 GMT+0800,108.945,109.353,108.039,108.324,630336.3895999999
24.02.2004 06:00:00.000 GMT+0800,108.322,108.719,108.002,108.148,631421.6915000001
25.02.2004 06:00:00.000 GMT+0800,108.143,109.106,108.016,108.956,624756.4034
26.02.2004 06:00:00.000 GMT+0800,108.972,109.792,108.721,109.501,632942.5079
27.02.2004 06:00:00.000 GMT+0800,109.500,109.678,108.864,109.108,633045.9033
28.02.2004 06:00:00.000 GMT+0800,109.108,109.108,109.108,109.108,0
29.02.2004 06:00:00.000 GMT+0800,109.108,109.108,109.108,109.108,0
01.03.2004 06:00:00.000 GMT+0800,109.023,109.396,108.843,108.944,635326.3007
02.03.2004 06:00:00.000 GMT+0800,108.953,110.392,108.881,110.035,624456.4932000001
03.03.2004 06:00:00.000 GMT+0800,110.064,110.498,109.968,110.032,633142.9913
04.03.2004 06:00:00.000 GMT+0800,110.022,111.135,109.999,111.044,628768.1055
05.03.2004 06:00:00.000 GMT+0800,111.067,112.266,110.942,111.979,628786.2021
06.03.2004 06:00:00.000 GMT+0800,111.979,111.979,111.979,111.979,0
07.03.2004 06:00:00.000 GMT+0800,111.979,111.979,111.979,111.979,0
08.03.2004 06:00:00.000 GMT+0800,112.065,112.276,111.076,111.135,628503.4980999999
09.03.2004 06:00:00.000 GMT+0800,111.144,111.586,110.224,111.272,629417.7880000001
10.03.2004 06:00:00.000 GMT+0800,111.257,111.520,110.684,110.831,623864.1026000002
11.03.2004 06:00:00.000 GMT+0800,110.883,111.067,110.410,110.720,631685.9042999999
12.03.2004 06:00:00.000 GMT+0800,110.717,111.360,110.586,110.750,621679.7988999999
13.03.2004 06:00:00.000 GMT+0800,110.750,110.750,110.750,110.750,0
14.03.2004 06:00:00.000 GMT+0800,110.750,110.750,110.750,110.750,0
15.03.2004 06:00:00.000 GMT+0800,110.664,111.044,109.177,110.296,626154.3096
16.03.2004 06:00:00.000 GMT+0800,110.283,110.350,108.598,108.700,633296.8039
17.03.2004 06:00:00.000 GMT+0800,108.727,108.952,107.948,108.248,628056.7031
18.03.2004 06:00:00.000 GMT+0800,108.248,108.348,106.373,106.802,630848.0967
