Local time,Open,High,Low,Close,Volume
06.10.2003 05:00:00.000 GMT+0800,111.019,111.325,110.771,110.981,591282.5
07.10.2003 05:00:00.000 GMT+0800,111.010,111.141,109.359,109.930,595867.9951000001
08.10.2003 05:00:00.000 GMT+0800,109.917,110.048,109.363,109.598,603417.1982999999
09.10.2003 05:00:00.000 GMT+0800,109.569,109.610,108.892,109.085,599261.001
10.10.2003 05:00:00.000 GMT+0800,109.040,109.313,108.274,108.710,600908.6063999999
11.10.2003 05:00:00.000 GMT+0800,108.710,108.710,108.710,108.710,0
12.10.2003 05:00:00.000 GMT+0800,108.710,108.710,108.710,108.710,0
13.10.2003 05:00:00.000 GMT+0800,108.455,109.030,108.260,108.925,556290.4048
14.10.2003 05:00:00.000 GMT+0800,108.907,110.194,108.648,108.892,592057.5980999998
15.10.2003 05:00:00.000 GMT+0800,108.879,109.797,108.740,109.575,600371.5957999999
16.10.2003 05:00:00.000 GMT+0800,109.530,110.293,109.207,109.956,607464.2930999998
17.10.2003 05:00:00.000 GMT+0800,109.955,110.017,109.295,109.365,598965.9979999999
18.10.2003 05:00:00.000 GMT+0800,109.365,109.365,109.365,109.365,0
19.10.2003 05:00:00.000 GMT+0800,109.365,109.365,109.365,109.365,0
20.10.2003 05:00:00.000 GMT+0800,109.055,110.585,108.777,110.383,600984.502
21.10.2003 05:00:00.000 GMT+0800,110.402,110.443,109.409,109.481,606028.6942999999
22.10.2003 05:00:00.000 GMT+0800,109.503,109.703,108.821,108.975,602951.7012
23.10.2003 05:00:00.000 GMT+0800,108.942,109.829,108.855,109.516,607552.7999
24.10.2003 05:00:00.000 GMT+0800,109.538,109.967,109.022,109.316,603626.0996
25.10.2003 05:00:00.000 GMT+0800,109.316,109.316,109.316,109.316,0
26.10.2003 05:00:00.000 GMT+0800,109.316,109.316,109.316,109.316,0
27.10.2003 06:00:00.000 GMT+0800,109.257,109.275,108.280,108.507,598765.7938999999
28.10.2003 06:00:00.000 GMT+0800,108.505,108.634,108.147,108.284,604303.1026000001
29.10.2003 06:00:00.000 GMT+0800,108.274,108.379,107.804,108.318,608904.7997999999
30.10.2003 06:00:00.000 GMT+0800,108.301,108.859,107.944,108.748,595899.7988
31.10.2003 06:00:00.000 GMT+0800,108.729,110.220,108.603,109.949,603820
01.11.2003 06:00:00.000 GMT+0800,109.949,109.949,109.949,109.949,0
02.11.2003 06:00:00.000 GMT+0800,109.949,109.949,109.949,109.949,0
03.11.2003 06:00:00.000 GMT+0800,109.887,111.497,109.699,110.952,601866.7988
04.11.2003 06:00:00.000 GMT+0800,110.953,111.023,109.401,109.558,612521.7011000001
05.11.2003 06:00:00.000 GMT+0800,109.549,110.055,109.455,109.848,604750.0029999998
06.11.2003 06:00:00.000 GMT+0800,109.865,110.332,109.788,110.219,597524.6046
07.11.2003 06:00:00.000 GMT+0800,110.195,110.387,109.031,109.370,601032.2002
08.11.2003 06:00:00.000 GMT+0800,109.370,109.370,109.370,109.370,0
09.11.2003 06:00:00.000 GMT+0800,109.370,109.370,109.370,109.370,0
10.11.2003 06:00:00.000 GMT+0800,109.317,109.641,107.850,108.818,600962.1943
11.11.2003 06:00:00.000 GMT+0800,108.815,109.130,108.399,108.691,609555.3994
12.11.2003 06:00:00.000 GMT+0800,108.674,109.150,108.437,108.840,608011.6944
13.11.2003 06:00:00.000 GMT+0800,108.862,108.885,108.052,108.112,605653.0978000001
14.11.2003 06:00:00.000 GMT+0800,108.094,108.505,107.936,108.358,605506.6952999998
15.11.2003 06:00:00.000 GMT+0800,108.358,108.358,108.358,108.358,0
16.11.2003 06:00:00.000 GMT+0800,108.358,108.358,108.358,108.358,0
17.11.2003 06:00:00.000 GMT+0800,108.321,109.735,108.218,108.890,608791.6874999999
18.11.2003 06:00:00.000 GMT+0800,108.879,109.099,107.914,107.942,609628.9013000001
19.11.2003 06:00:00.000 GMT+0800,107.972,109.380,107.532,109.279,607649.6055
20.11.2003 06:00:00.000 GMT+0800,109.275,109.299,108.634,109.020,604193.7997999999
